col-0	col-1	col-2	col-3	col-4	col-5	col-6	col-7	col-8	col-9	col-10	col-11	col-12	col-13	col-14	col-15	col-16	col-17	col-18	col-19	col-20	col-21	col-22	col-23	col-24	col-25	col-26	col-27	
row-00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
row-10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
row-20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
row-30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
row-40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
row-50	0	0	0	0	0	0	47	109	109	109	171	253	253	253	255	253	133	0	0	0	0	0	0	0	0	0	0	
row-60	0	0	0	0	53	73	232	252	252	252	253	231	179	179	253	252	247	217	0	0	0	0	0	0	0	0	0	
row-70	0	0	0	42	221	252	252	220	215	132	72	51	0	0	72	113	241	252	105	0	0	0	0	0	0	0	0	
row-80	0	0	0	0	78	108	108	15	0	0	0	0	0	0	0	1	181	252	144	0	0	0	0	0	0	0	0	
row-90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	134	252	252	83	0	0	0	0	0	0	0	0	
row-100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	227	252	210	0	0	0	0	0	0	0	0	0	
row-110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	129	252	205	31	0	0	0	0	0	0	0	0	0	
row-120	0	0	0	0	0	0	0	0	0	0	0	0	0	84	253	210	31	0	0	0	0	0	0	0	0	0	0	
row-130	0	0	0	0	0	0	0	0	0	0	0	32	212	253	255	35	0	0	0	0	0	0	0	0	0	0	0	
row-140	0	0	0	0	0	0	0	0	0	0	73	207	252	210	35	5	0	0	0	0	0	0	0	0	0	0	0	
row-150	0	0	0	0	0	0	0	0	0	0	253	252	252	128	37	5	0	0	0	0	0	0	0	0	0	0	0	
row-160	0	0	0	0	0	0	0	0	0	0	253	252	252	252	253	159	41	0	0	0	0	0	0	0	0	0	0	
row-170	0	0	0	0	0	0	0	0	0	0	0	0	21	207	255	253	253	170	63	0	0	0	0	0	0	0	0	
row-180	0	0	0	0	0	0	0	0	0	0	0	0	0	20	35	159	231	252	176	10	0	0	0	0	0	0	0	
row-190	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	78	252	253	138	0	0	0	0	0	0	0	
row-200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	252	253	179	0	0	0	0	0	0	0	
row-210	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	99	253	255	119	0	0	0	0	0	0	0	
row-220	0	0	0	0	0	0	32	73	73	73	0	42	0	42	73	197	242	252	159	5	0	0	0	0	0	0	0	
row-230	0	0	0	0	0	0	94	215	241	252	182	221	181	221	253	252	226	132	41	0	0	0	0	0	0	0	0	
row-240	0	0	0	0	0	0	0	0	78	108	108	232	252	252	253	128	31	0	0	0	0	0	0	0	0	0	0	
row-250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
row-260	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
row-270	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
