	('Numbers: Five-5988', 'Digit: Five')	('Numbers: Five-573', 'Digit: Five')	('Numbers: Six-5766', 'Digit: Six')	('Numbers: Eight-5687', 'Digit: Eight')	('Numbers: Zero-6374', 'Digit: Zero')	('Numbers: Six-4535', 'Digit: Six')	('Numbers: Nine-1353', 'Digit: Nine')	('Numbers: Three-4063', 'Digit: Three')	('Numbers: Two-2242', 'Digit: Two')	('Numbers: Six-4742', 'Digit: Six')	('Numbers: Six-4597', 'Digit: Six')	('Numbers: Six-3897', 'Digit: Six')	('Numbers: Three-6513', 'Digit: Three')	('Numbers: Seven-5026', 'Digit: Seven')	('Numbers: Four-6277', 'Digit: Four')	('Numbers: Four-307', 'Digit: Four')	('Numbers: Zero-2589', 'Digit: Zero')	('Numbers: Six-1819', 'Digit: Six')	('Numbers: One-2216', 'Digit: One')	('Numbers: Six-4625', 'Digit: Six')	('Numbers: Nine-6749', 'Digit: Nine')	('Numbers: Seven-5147', 'Digit: Seven')	('Numbers: Seven-791', 'Digit: Seven')	('Numbers: Zero-2997', 'Digit: Zero')	('Numbers: Five-5313', 'Digit: Five')	('Numbers: Four-6502', 'Digit: Four')	('Numbers: Four-2173', 'Digit: Four')	('Numbers: Four-459', 'Digit: Four')	('Numbers: Zero-3729', 'Digit: Zero')	('Numbers: Three-6213', 'Digit: Three')	('Numbers: Five-2201', 'Digit: Five')	('Numbers: Seven-1830', 'Digit: Seven')	('Numbers: Zero-4354', 'Digit: Zero')	('Numbers: Nine-3217', 'Digit: Nine')	('Numbers: Six-4860', 'Digit: Six')	('Numbers: Five-2026', 'Digit: Five')	('Numbers: Six-1078', 'Digit: Six')	('Numbers: Four-756', 'Digit: Four')	('Numbers: Two-771', 'Digit: Two')	('Numbers: Seven-1815', 'Digit: Seven')	('Numbers: Zero-69', 'Digit: Zero')	('Numbers: Five-517', 'Digit: Five')	('Numbers: One-282', 'Digit: One')	('Numbers: One-3358', 'Digit: One')	('Numbers: Eight-2356', 'Digit: Eight')	('Numbers: Five-1369', 'Digit: Five')	('Numbers: Seven-136', 'Digit: Seven')	('Numbers: Nine-3632', 'Digit: Nine')	('Numbers: One-5942', 'Digit: One')	('Numbers: Nine-3381', 'Digit: Nine')	('Numbers: Five-254', 'Digit: Five')	('Numbers: Seven-2310', 'Digit: Seven')	('Numbers: Seven-6546', 'Digit: Seven')	('Numbers: Nine-2265', 'Digit: Nine')	('Numbers: Nine-6823', 'Digit: Nine')	('Numbers: Four-2860', 'Digit: Four')	('Numbers: Seven-1241', 'Digit: Seven')	('Numbers: Six-3933', 'Digit: Six')	('Numbers: Zero-4387', 'Digit: Zero')	('Numbers: Two-681', 'Digit: Two')	('Numbers: Two-1467', 'Digit: Two')	('Numbers: Two-604', 'Digit: Two')	('Numbers: Three-6923', 'Digit: Three')	('Numbers: Three-1236', 'Digit: Three')	('Numbers: Six-5538', 'Digit: Six')	('Numbers: Two-2505', 'Digit: Two')	('Numbers: One-3389', 'Digit: One')	('Numbers: Two-6745', 'Digit: Two')	('Numbers: Six-991', 'Digit: Six')	('Numbers: One-5367', 'Digit: One')	('Numbers: Zero-4025', 'Digit: Zero')	('Numbers: Two-815', 'Digit: Two')	('Numbers: Seven-1293', 'Digit: Seven')	('Numbers: Nine-1222', 'Digit: Nine')	('Numbers: Nine-4416', 'Digit: Nine')	('Numbers: Eight-1341', 'Digit: Eight')	('Numbers: Four-4925', 'Digit: Four')	('Numbers: Four-1148', 'Digit: Four')	('Numbers: One-3820', 'Digit: One')	('Numbers: Four-6380', 'Digit: Four')	('Numbers: Seven-4339', 'Digit: Seven')	('Numbers: Eight-5763', 'Digit: Eight')	('Numbers: Seven-6757', 'Digit: Seven')	('Numbers: Six-3632', 'Digit: Six')	('Numbers: Six-1245', 'Digit: Six')	('Numbers: Six-185', 'Digit: Six')	('Numbers: Nine-2661', 'Digit: Nine')	('Numbers: Eight-5400', 'Digit: Eight')	('Numbers: Five-4818', 'Digit: Five')	('Numbers: Two-3886', 'Digit: Two')	('Numbers: Six-990', 'Digit: Six')	('Numbers: One-5209', 'Digit: One')	('Numbers: Five-6071', 'Digit: Five')	('Numbers: Two-5864', 'Digit: Two')	('Numbers: Five-5793', 'Digit: Five')	('Numbers: One-1519', 'Digit: One')	('Numbers: Nine-5532', 'Digit: Nine')	('Numbers: Eight-5622', 'Digit: Eight')	('Numbers: Six-3402', 'Digit: Six')	('Numbers: Six-5617', 'Digit: Six')
pos_0-0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_0-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_0-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_0-3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_0-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_0-5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_0-6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_0-7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_0-8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_0-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
