	('Numbers: Eight-19', 'Digit: Eight')	('Numbers: Two-12', 'Digit: Two')	('Numbers: Six-19', 'Digit: Six')	('Numbers: Zero-8', 'Digit: Zero')	('Numbers: Seven-16', 'Digit: Seven')	('Numbers: Two-22', 'Digit: Two')	('Numbers: Zero-19', 'Digit: Zero')	('Numbers: Five-12', 'Digit: Five')	('Numbers: Four-25', 'Digit: Four')	('Numbers: Five-28', 'Digit: Five')	('Numbers: One-8', 'Digit: One')	('Numbers: Two-23', 'Digit: Two')	('Numbers: Three-22', 'Digit: Three')	('Numbers: Eight-27', 'Digit: Eight')	('Numbers: Six-2', 'Digit: Six')	('Numbers: Six-27', 'Digit: Six')	('Numbers: Nine-21', 'Digit: Nine')	('Numbers: Six-29', 'Digit: Six')	('Numbers: Four-19', 'Digit: Four')	('Numbers: Four-9', 'Digit: Four')
('Pixels: pos_0-0', 'Center: 39.5979797464')	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
('Pixels: pos_0-1', 'Center: 38.5979797464')	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
('Pixels: pos_0-2', 'Center: 37.5979797464')	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
('Pixels: pos_0-3', 'Center: 36.5979797464')	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
('Pixels: pos_0-4', 'Center: 35.5979797464')	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
('Pixels: pos_0-5', 'Center: 34.5979797464')	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
('Pixels: pos_0-6', 'Center: 33.5979797464')	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
('Pixels: pos_0-7', 'Center: 32.5979797464')	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
('Pixels: pos_0-8', 'Center: 31.5979797464')	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
('Pixels: pos_0-9', 'Center: 30.5979797464')	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
('Pixels: pos_0-10', 'Center: 29.5979797464')	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
('Pixels: pos_0-11', 'Center: 28.5979797464')	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
('Pixels: pos_0-12', 'Center: 27.5979797464')	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
('Pixels: pos_0-13', 'Center: 26.5979797464')	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
('Pixels: pos_0-14', 'Center: 25.5979797464')	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
('Pixels: pos_0-15', 'Center: 24.5979797464')	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
('Pixels: pos_0-16', 'Center: 23.5979797464')	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
('Pixels: pos_0-17', 'Center: 22.5979797464')	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
('Pixels: pos_0-18', 'Center: 21.5979797464')	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
('Pixels: pos_0-19', 'Center: 20.5979797464')	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
('Pixels: pos_0-20', 'Center: 19.5979797464')	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
('Pixels: pos_0-21', 'Center: 18.5979797464')	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
('Pixels: pos_0-22', 'Center: 17.5979797464')	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
('Pixels: pos_0-23', 'Center: 16.5979797464')	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
('Pixels: pos_0-24', 'Center: 15.5979797464')	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
('Pixels: pos_0-25', 'Center: 14.5979797464')	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
('Pixels: pos_0-26', 'Center: 13.5979797464')	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
('Pixels: pos_0-27', 'Center: 12.5979797464')	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
('Pixels: pos_1-0', 'Center: 38.5979797464')	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
('Pixels: pos_1-1', 'Center: 38.1837661841')	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
