	('Numbers: Two-6454', 'Digit: Two')	('Numbers: Seven-4107', 'Digit: Seven')	('Numbers: Two-1266', 'Digit: Two')	('Numbers: Seven-4453', 'Digit: Seven')	('Numbers: Nine-1124', 'Digit: Nine')	('Numbers: Five-4731', 'Digit: Five')	('Numbers: Eight-3406', 'Digit: Eight')	('Numbers: Three-6237', 'Digit: Three')	('Numbers: Seven-4649', 'Digit: Seven')	('Numbers: Eight-1750', 'Digit: Eight')	('Numbers: Eight-4604', 'Digit: Eight')	('Numbers: Six-4615', 'Digit: Six')	('Numbers: Zero-1358', 'Digit: Zero')	('Numbers: Three-2169', 'Digit: Three')	('Numbers: Three-1800', 'Digit: Three')	('Numbers: Nine-367', 'Digit: Nine')	('Numbers: Eight-3313', 'Digit: Eight')	('Numbers: Eight-5053', 'Digit: Eight')	('Numbers: Zero-4861', 'Digit: Zero')	('Numbers: One-2000', 'Digit: One')	('Numbers: Nine-380', 'Digit: Nine')	('Numbers: Nine-5591', 'Digit: Nine')	('Numbers: Nine-1176', 'Digit: Nine')	('Numbers: Nine-1274', 'Digit: Nine')	('Numbers: Four-440', 'Digit: Four')	('Numbers: One-6191', 'Digit: One')	('Numbers: Nine-2385', 'Digit: Nine')	('Numbers: Zero-1578', 'Digit: Zero')	('Numbers: Seven-192', 'Digit: Seven')	('Numbers: Four-1581', 'Digit: Four')	('Numbers: Four-1418', 'Digit: Four')	('Numbers: Three-6908', 'Digit: Three')	('Numbers: Two-196', 'Digit: Two')	('Numbers: Three-3418', 'Digit: Three')	('Numbers: One-4620', 'Digit: One')	('Numbers: Four-4666', 'Digit: Four')	('Numbers: Seven-3400', 'Digit: Seven')	('Numbers: Eight-2817', 'Digit: Eight')	('Numbers: Eight-3698', 'Digit: Eight')	('Numbers: Zero-5893', 'Digit: Zero')	('Numbers: Eight-4110', 'Digit: Eight')	('Numbers: Three-2232', 'Digit: Three')	('Numbers: Three-550', 'Digit: Three')	('Numbers: Seven-6222', 'Digit: Seven')	('Numbers: Two-1375', 'Digit: Two')	('Numbers: Zero-87', 'Digit: Zero')	('Numbers: Seven-177', 'Digit: Seven')	('Numbers: Seven-5490', 'Digit: Seven')	('Numbers: Five-5151', 'Digit: Five')	('Numbers: Six-5683', 'Digit: Six')	('Numbers: Six-4309', 'Digit: Six')	('Numbers: Zero-3223', 'Digit: Zero')	('Numbers: One-5083', 'Digit: One')	('Numbers: Two-6379', 'Digit: Two')	('Numbers: Five-2067', 'Digit: Five')	('Numbers: Two-5965', 'Digit: Two')	('Numbers: One-5138', 'Digit: One')	('Numbers: One-5827', 'Digit: One')	('Numbers: Eight-5077', 'Digit: Eight')	('Numbers: Nine-5864', 'Digit: Nine')	('Numbers: Eight-4288', 'Digit: Eight')	('Numbers: Zero-6617', 'Digit: Zero')	('Numbers: Four-6078', 'Digit: Four')	('Numbers: Eight-538', 'Digit: Eight')	('Numbers: Eight-699', 'Digit: Eight')	('Numbers: One-6520', 'Digit: One')	('Numbers: Seven-5242', 'Digit: Seven')	('Numbers: Four-1193', 'Digit: Four')	('Numbers: Five-5481', 'Digit: Five')	('Numbers: Zero-2402', 'Digit: Zero')	('Numbers: Two-3998', 'Digit: Two')	('Numbers: Three-1004', 'Digit: Three')	('Numbers: Three-3872', 'Digit: Three')	('Numbers: Three-4269', 'Digit: Three')	('Numbers: Two-2499', 'Digit: Two')	('Numbers: Nine-1744', 'Digit: Nine')	('Numbers: Three-5096', 'Digit: Three')	('Numbers: Zero-44', 'Digit: Zero')	('Numbers: Two-12', 'Digit: Two')	('Numbers: Four-1062', 'Digit: Four')	('Numbers: Seven-3896', 'Digit: Seven')	('Numbers: Four-6417', 'Digit: Four')	('Numbers: One-4148', 'Digit: One')	('Numbers: One-7346', 'Digit: One')	('Numbers: Four-3173', 'Digit: Four')	('Numbers: Seven-6680', 'Digit: Seven')	('Numbers: One-3946', 'Digit: One')	('Numbers: Six-3104', 'Digit: Six')	('Numbers: Zero-4221', 'Digit: Zero')	('Numbers: Eight-2878', 'Digit: Eight')	('Numbers: Two-3441', 'Digit: Two')	('Numbers: Three-6402', 'Digit: Three')	('Numbers: Eight-1512', 'Digit: Eight')	('Numbers: Five-1165', 'Digit: Five')	('Numbers: Eight-6226', 'Digit: Eight')	('Numbers: Six-3943', 'Digit: Six')	('Numbers: Zero-5326', 'Digit: Zero')	('Numbers: Nine-5164', 'Digit: Nine')	('Numbers: Four-5991', 'Digit: Four')	('Numbers: Eight-972', 'Digit: Eight')
pos_0-0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_0-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_0-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_0-3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_0-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_0-5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_0-6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_0-7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_0-8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_0-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
