	('Numbers: Zero-64', 'Digit: Zero')	('Numbers: Eight-1873', 'Digit: Eight')	('Numbers: Zero-5836', 'Digit: Zero')	('Numbers: Eight-5909', 'Digit: Eight')	('Numbers: Seven-562', 'Digit: Seven')	('Numbers: Seven-2325', 'Digit: Seven')	('Numbers: Two-4298', 'Digit: Two')	('Numbers: Five-3004', 'Digit: Five')	('Numbers: Six-3475', 'Digit: Six')	('Numbers: Four-5622', 'Digit: Four')	('Numbers: Two-804', 'Digit: Two')	('Numbers: Six-5128', 'Digit: Six')	('Numbers: One-1913', 'Digit: One')	('Numbers: Two-4577', 'Digit: Two')	('Numbers: Four-273', 'Digit: Four')	('Numbers: Six-497', 'Digit: Six')	('Numbers: Nine-5962', 'Digit: Nine')	('Numbers: Seven-1879', 'Digit: Seven')	('Numbers: Six-1564', 'Digit: Six')	('Numbers: Nine-2142', 'Digit: Nine')
pos_1-16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_1-17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_1-18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_1-19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_1-20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_1-21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_1-22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_1-23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_1-24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_1-25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_1-26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_1-27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_2-0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_2-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_2-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_2-3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_2-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_2-5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_2-6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_2-7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_2-8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_2-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_2-10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_2-11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_2-12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_2-13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_2-14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_2-15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_2-16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_2-17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0
pos_2-18	0	0	0	0	0	0	0	0	0	0	0	143	0	0	0	0	0	0	168	0
pos_2-19	0	0	0	0	0	0	0	0	0	0	0	224	0	0	0	0	0	0	228	0
pos_2-20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_2-21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_2-22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_2-23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_2-24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_2-25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_2-26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_2-27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_3-0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_3-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_3-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_3-3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_3-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_3-5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_3-6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_3-7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_3-8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_3-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_3-10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_3-11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_3-12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_3-13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_3-14	50	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0
pos_3-15	237	0	0	0	0	0	0	0	0	0	65	0	0	0	0	0	0	0	0	0
pos_3-16	203	0	0	0	0	0	0	0	198	0	7	0	0	0	0	0	0	0	0	0
pos_3-17	75	0	0	0	0	0	0	0	226	0	9	55	0	0	0	0	0	0	60	0
pos_3-18	0	0	0	0	0	0	0	0	0	0	76	244	0	0	0	0	0	0	254	0
pos_3-19	0	0	0	0	0	0	0	0	0	0	255	79	0	0	0	0	0	0	195	0
pos_3-20	0	0	0	0	0	0	0	0	0	0	253	0	0	0	0	0	0	0	0	0
pos_3-21	0	0	0	0	0	0	0	0	0	0	137	0	0	0	0	0	0	0	0	0
pos_3-22	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0
pos_3-23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_3-24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_3-25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_3-26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_3-27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_4-0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_4-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_4-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_4-3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_4-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_4-5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_4-6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_4-7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_4-8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_4-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_4-10	0	0	0	0	0	0	0	0	0	0	0	0	0	88	0	0	0	0	0	0
pos_4-11	0	0	0	0	0	0	0	0	0	0	0	0	0	241	0	0	0	0	0	0
pos_4-12	0	0	0	0	0	0	0	0	0	0	0	0	0	254	0	0	0	0	0	0
pos_4-13	37	0	0	0	0	0	0	0	0	0	0	0	0	254	0	0	0	0	0	0
pos_4-14	232	0	0	0	0	0	0	0	0	0	138	0	176	255	0	0	0	0	0	0
pos_4-15	254	0	0	0	0	0	0	0	0	0	252	0	206	254	0	0	0	0	0	0
pos_4-16	254	0	0	0	0	0	0	0	255	0	186	5	25	195	0	0	0	0	13	0
pos_4-17	244	0	110	0	0	0	0	0	255	0	194	208	0	16	0	25	0	0	194	0
pos_4-18	15	0	253	0	0	0	0	0	0	0	252	161	0	0	0	132	0	0	254	0
pos_4-19	0	0	232	0	0	0	0	0	0	0	253	3	0	0	0	161	0	0	24	0
pos_4-20	0	0	47	0	0	0	0	0	0	0	252	0	0	0	0	253	0	0	0	0
pos_4-21	0	0	0	0	0	0	0	0	0	0	252	0	0	0	0	172	0	0	0	0
pos_4-22	0	0	0	0	0	0	0	0	0	0	119	0	0	0	0	2	0	0	0	0
pos_4-23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_4-24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_4-25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_4-26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_4-27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_5-0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_5-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_5-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_5-3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_5-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_5-5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_5-6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_5-7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_5-8	0	0	0	175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_5-9	0	0	0	255	0	0	0	0	0	0	0	0	0	120	7	0	0	0	0	0
pos_5-10	0	0	0	137	0	0	0	0	0	0	0	0	0	252	161	0	0	0	0	0
pos_5-11	0	0	0	125	0	0	0	0	0	0	0	0	0	206	176	0	0	0	0	0
pos_5-12	9	0	0	125	0	0	0	0	0	0	0	0	0	198	0	0	0	0	0	0
pos_5-13	156	0	0	86	0	0	0	0	0	0	0	0	0	218	0	0	0	0	0	0
pos_5-14	254	0	21	0	0	0	0	0	0	0	138	0	253	254	0	0	0	0	0	0
pos_5-15	209	0	73	33	0	0	0	0	29	0	252	0	252	253	0	0	0	0	0	0
pos_5-16	250	0	73	125	0	0	0	0	255	0	252	140	55	253	0	26	0	0	149	0
pos_5-17	254	0	233	35	0	0	0	0	226	0	252	253	0	106	0	211	0	0	254	0
pos_5-18	131	0	252	0	0	0	0	0	0	0	221	45	0	0	0	252	0	0	238	0
pos_5-19	0	0	252	0	0	0	0	0	0	0	180	0	0	0	0	252	0	0	9	0
pos_5-20	0	0	232	0	0	0	0	0	0	0	211	0	0	0	0	252	0	0	0	0
pos_5-21	0	0	0	0	0	0	0	0	0	0	252	0	0	0	0	252	0	0	0	0
pos_5-22	0	0	0	0	0	0	0	0	0	0	128	0	0	0	0	105	0	0	0	0
pos_5-23	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_5-24	0	0	0	248	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_5-25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_5-26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_5-27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_6-0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_6-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_6-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_6-3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_6-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_6-5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_6-6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_6-7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_6-8	0	0	0	241	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_6-9	0	17	0	253	0	0	0	0	0	0	0	0	0	208	74	0	0	0	0	0
pos_6-10	0	118	0	253	0	0	0	0	0	0	0	0	0	253	254	0	0	0	0	0
pos_6-11	0	254	0	253	5	0	57	0	0	0	0	0	0	36	214	0	19	0	0	0
pos_6-12	31	254	21	253	34	0	57	0	0	6	0	0	0	0	0	0	87	0	0	0
pos_6-13	233	254	182	252	130	0	86	0	0	163	0	0	0	104	0	0	203	0	0	172
pos_6-14	163	254	201	248	225	0	0	0	0	137	25	0	253	254	0	0	254	0	0	254
pos_6-15	11	254	252	249	255	0	0	0	226	0	67	61	233	253	0	37	255	0	105	254
pos_6-16	143	254	252	253	255	0	0	0	255	0	160	255	43	253	0	160	140	0	251	122
pos_6-17	254	203	253	198	255	0	0	0	86	0	160	178	0	231	0	252	0	0	235	0
pos_6-18	233	122	96	0	255	0	0	0	0	0	88	0	0	36	9	252	0	0	61	0
pos_6-19	25	62	98	0	145	0	0	0	0	0	5	0	0	0	7	252	0	0	0	0
pos_6-20	0	0	252	0	79	0	0	0	0	11	177	0	0	0	0	242	0	0	0	0
pos_6-21	0	0	0	0	1	0	0	0	0	171	252	0	0	0	0	216	0	0	0	0
pos_6-22	0	0	0	80	0	0	0	0	0	219	139	0	0	0	0	76	0	0	0	0
pos_6-23	0	0	0	248	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0
pos_6-24	0	0	0	186	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_6-25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_6-26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_6-27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_7-0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_7-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_7-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_7-3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_7-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_7-5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_7-6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_7-7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_7-8	0	104	0	118	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_7-9	0	222	0	253	31	0	0	0	0	0	0	0	0	254	66	0	0	0	0	0
pos_7-10	0	253	0	253	136	0	170	0	0	0	0	0	0	253	254	0	17	0	0	0
pos_7-11	9	253	21	253	217	7	255	0	0	0	0	0	0	207	230	0	204	0	0	0
pos_7-12	164	252	206	209	253	136	255	0	0	84	0	0	0	199	24	0	253	3	0	161
pos_7-13	192	247	253	230	253	119	255	0	0	254	0	0	16	238	0	0	253	67	0	251
pos_7-14	11	250	252	253	253	0	255	0	57	147	0	10	253	254	0	81	253	172	26	200
pos_7-15	0	253	252	253	253	0	198	0	255	0	0	195	177	246	0	253	254	180	226	47
pos_7-16	74	246	252	253	253	0	114	0	255	0	0	233	7	253	0	252	223	254	254	181
pos_7-17	253	253	253	201	253	0	57	0	0	0	0	32	0	253	0	252	17	201	143	109
pos_7-18	254	253	35	0	253	0	0	0	0	0	0	0	0	143	225	252	0	18	0	0
pos_7-19	89	249	37	0	253	0	0	0	0	0	22	0	0	0	226	212	0	0	0	0
pos_7-20	0	108	252	72	253	85	0	0	0	50	244	0	0	0	78	60	0	0	0	0
pos_7-21	0	1	84	192	85	255	0	0	0	242	252	0	0	0	0	0	0	0	0	0
pos_7-22	0	0	0	248	0	173	0	0	0	213	108	0	0	0	0	0	0	0	0	0
pos_7-23	0	0	0	241	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0
pos_7-24	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_7-25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_7-26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_7-27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_8-0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_8-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_8-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_8-3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_8-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_8-5	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_8-6	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_8-7	0	43	0	0	143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_8-8	0	242	0	9	210	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0
pos_8-9	0	253	0	73	253	0	0	0	0	0	0	0	0	156	166	0	62	15	0	0
pos_8-10	3	195	32	243	253	0	255	0	0	0	0	0	0	253	254	0	199	91	0	0
pos_8-11	122	155	211	253	253	125	255	0	0	26	0	0	0	253	159	0	254	149	0	52
pos_8-12	254	75	252	253	253	253	170	91	0	213	0	0	0	253	0	0	253	204	0	233
pos_8-13	195	34	253	253	253	197	141	19	0	239	0	10	140	253	0	0	183	254	11	114
pos_8-14	0	54	158	199	253	47	170	169	198	45	0	176	253	195	0	207	46	254	178	0
pos_8-15	0	88	41	253	248	47	255	145	255	0	0	253	252	53	0	253	136	254	254	60
pos_8-16	0	22	0	229	235	47	255	9	141	0	0	72	55	227	0	252	219	254	173	253
pos_8-17	95	89	0	119	235	47	255	0	0	0	0	0	0	253	0	252	21	254	33	84
pos_8-18	254	89	0	0	235	97	86	0	0	0	0	0	0	162	225	241	0	123	0	0
pos_8-19	89	144	21	91	251	147	0	0	0	0	128	0	0	0	254	89	0	0	0	0
pos_8-20	0	253	205	247	253	247	0	0	0	45	253	0	0	0	120	0	0	0	0	0
pos_8-21	0	20	144	253	150	254	0	0	0	254	190	0	0	0	0	0	0	0	0	0
pos_8-22	0	0	0	253	1	156	0	0	0	186	5	0	0	0	0	0	0	0	0	0
pos_8-23	0	0	0	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_8-24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_8-25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_8-26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_8-27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_9-0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_9-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_9-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_9-3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_9-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_9-5	0	0	0	0	86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_9-6	0	0	0	0	253	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_9-7	0	143	0	0	253	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0
pos_9-8	0	253	0	0	253	0	0	0	0	0	0	0	0	0	144	0	34	110	0	0
pos_9-9	0	103	94	0	253	0	0	0	0	0	0	0	0	0	254	0	240	245	0	0
pos_9-10	9	4	227	140	253	114	170	0	0	0	0	0	0	85	229	0	253	254	0	15
pos_9-11	254	0	252	241	236	245	255	0	0	192	0	0	0	124	10	0	254	254	0	227
pos_9-12	231	0	210	253	228	253	226	24	0	254	0	0	0	124	0	63	151	254	0	125
pos_9-13	44	0	35	253	137	254	114	139	29	104	0	112	63	91	0	125	13	254	54	1
pos_9-14	0	0	5	109	105	253	0	253	255	0	0	253	255	0	0	250	0	246	254	0
pos_9-15	0	0	0	59	74	253	29	199	255	0	0	132	253	0	0	250	45	227	254	61
pos_9-16	0	0	0	192	0	253	141	13	0	0	0	0	56	218	0	180	119	230	87	253
pos_9-17	127	0	0	126	0	254	226	0	0	0	0	0	0	254	0	105	13	254	0	162
pos_9-18	254	0	0	228	0	253	255	0	0	0	0	0	0	163	225	48	34	123	0	0
pos_9-19	146	26	11	245	223	253	114	0	0	0	149	0	0	0	254	0	0	0	0	0
pos_9-20	0	253	175	253	253	253	0	0	0	114	252	0	0	0	120	0	0	0	0	0
pos_9-21	0	222	238	253	253	214	0	0	0	254	155	0	0	0	0	0	0	0	0	0
pos_9-22	0	56	72	119	12	29	0	67	0	76	17	0	0	0	0	0	0	0	0	0
pos_9-23	0	0	0	91	0	0	0	176	0	0	0	0	0	0	0	0	0	0	0	0
pos_9-24	0	0	0	0	0	0	0	107	0	0	0	0	0	0	0	0	0	0	0	0
pos_9-25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
