	('Numbers: Nine-2242', 'Digit: Nine')	('Numbers: Eight-198', 'Digit: Eight')	('Numbers: One-6679', 'Digit: One')	('Numbers: Seven-3604', 'Digit: Seven')	('Numbers: Zero-482', 'Digit: Zero')	('Numbers: Two-2790', 'Digit: Two')	('Numbers: Three-6054', 'Digit: Three')	('Numbers: Eight-4', 'Digit: Eight')	('Numbers: Six-6789', 'Digit: Six')	('Numbers: One-3068', 'Digit: One')	('Numbers: Nine-6456', 'Digit: Nine')	('Numbers: Five-4709', 'Digit: Five')	('Numbers: One-5022', 'Digit: One')	('Numbers: Nine-4922', 'Digit: Nine')	('Numbers: Four-3164', 'Digit: Four')	('Numbers: One-1368', 'Digit: One')	('Numbers: Eight-4650', 'Digit: Eight')	('Numbers: Three-3429', 'Digit: Three')	('Numbers: Three-2297', 'Digit: Three')	('Numbers: Two-5623', 'Digit: Two')
pos_1-16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_1-17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_1-18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_1-19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_1-20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_1-21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_1-22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_1-23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_1-24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_1-25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_1-26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_1-27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_2-0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_2-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_2-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_2-3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_2-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_2-5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_2-6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_2-7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_2-8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_2-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_2-10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_2-11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_2-12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_2-13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_2-14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_2-15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_2-16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_2-17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_2-18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_2-19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_2-20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_2-21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_2-22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_2-23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_2-24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_2-25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_2-26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_2-27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_3-0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_3-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_3-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_3-3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_3-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_3-5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_3-6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_3-7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_3-8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_3-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_3-10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_3-11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_3-12	0	0	0	0	0	0	55	0	22	0	0	0	0	0	0	0	0	0	0	0
pos_3-13	0	0	0	0	0	23	236	0	155	0	0	0	0	0	0	0	0	0	0	0
pos_3-14	0	0	0	0	0	214	168	0	255	0	0	0	0	0	0	0	0	0	0	0
pos_3-15	0	0	0	0	0	255	0	0	218	0	0	0	0	0	0	0	0	0	0	0
pos_3-16	0	0	0	0	0	93	0	0	22	0	0	0	0	0	0	0	0	0	0	0
pos_3-17	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_3-18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_3-19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_3-20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_3-21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_3-22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_3-23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_3-24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_3-25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_3-26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_3-27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_4-0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_4-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_4-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_4-3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_4-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_4-5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_4-6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_4-7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_4-8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0
pos_4-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56	0
pos_4-10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56	0
pos_4-11	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	72	26
pos_4-12	0	0	0	0	0	88	169	0	210	0	0	0	0	0	0	0	0	0	155	215
pos_4-13	0	0	0	0	0	221	252	0	253	0	0	0	0	0	0	0	0	0	155	254
pos_4-14	0	0	0	0	114	253	211	0	253	21	0	0	0	0	0	124	0	0	236	254
pos_4-15	0	0	0	0	50	253	0	0	253	214	0	0	0	0	0	168	0	0	169	254
pos_4-16	0	0	0	0	25	253	0	0	41	253	0	0	0	0	255	0	0	38	31	157
pos_4-17	0	0	0	0	0	175	0	0	0	152	0	0	0	0	146	0	0	237	0	91
pos_4-18	0	0	0	0	0	6	0	0	0	92	0	0	0	0	0	0	0	168	0	7
pos_4-19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
pos_4-20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_4-21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_4-22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_4-23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_4-24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_4-25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_4-26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_4-27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_5-0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_5-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_5-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_5-3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_5-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_5-5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_5-6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_5-7	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	65	0
pos_5-8	0	0	0	0	0	0	0	0	0	0	0	128	0	0	0	0	0	0	223	0
pos_5-9	0	0	0	0	0	0	4	0	0	0	0	186	0	0	0	0	0	0	254	0
pos_5-10	0	0	0	0	0	26	57	0	0	0	0	254	0	0	0	0	0	0	254	88
pos_5-11	0	0	185	0	67	134	180	0	112	0	0	254	0	0	0	0	0	0	254	214
pos_5-12	0	51	252	0	178	250	246	0	253	0	0	233	0	0	0	0	0	0	254	253
pos_5-13	0	70	252	0	225	253	252	0	253	0	0	172	0	0	0	22	0	0	254	253
pos_5-14	0	153	255	0	253	196	250	0	253	102	0	172	0	0	0	225	0	0	254	253
pos_5-15	0	203	210	0	237	153	197	0	253	253	0	144	0	0	0	243	0	0	254	253
pos_5-16	0	254	17	0	231	253	119	0	66	252	0	91	0	0	253	48	0	100	183	253
pos_5-17	0	229	0	0	200	253	22	0	0	253	0	30	31	0	196	0	0	253	4	253
pos_5-18	0	99	0	0	0	172	4	0	0	151	0	5	218	0	0	0	0	176	0	253
pos_5-19	0	0	0	0	0	0	0	0	0	0	0	4	147	0	0	0	0	0	0	153
pos_5-20	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	23
pos_5-21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_5-22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_5-23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_5-24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_5-25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_5-26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_5-27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_6-0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_6-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_6-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_6-3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_6-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_6-5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_6-6	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0
pos_6-7	0	0	0	0	0	0	0	0	0	0	0	140	0	0	0	0	0	0	220	0
pos_6-8	0	0	0	0	0	0	0	0	0	0	0	254	0	0	135	0	0	0	254	0
pos_6-9	0	0	0	0	0	9	87	0	0	0	0	254	0	0	28	0	4	0	254	16
pos_6-10	0	60	0	0	19	202	252	0	80	0	0	254	0	0	0	0	104	0	254	206
pos_6-11	0	214	150	0	209	253	252	0	251	0	0	254	0	0	0	0	141	0	254	253
pos_6-12	21	247	242	0	252	253	252	0	253	0	0	254	0	0	0	0	241	0	254	250
pos_6-13	153	254	250	0	252	214	252	29	242	0	33	254	0	0	0	64	255	0	254	207
pos_6-14	237	253	252	0	253	0	253	130	199	142	135	254	0	0	0	252	178	8	254	111
pos_6-15	255	253	250	0	252	0	252	130	253	254	217	254	0	0	89	253	104	128	254	111
pos_6-16	103	253	181	0	252	138	252	225	71	253	255	254	29	57	253	63	29	247	254	208
pos_6-17	0	254	0	0	246	253	252	255	0	41	254	254	213	194	196	0	41	253	149	241
pos_6-18	0	232	0	0	197	245	182	255	0	0	51	221	252	67	0	0	141	53	0	253
pos_6-19	0	42	0	0	32	88	64	109	0	0	0	216	147	0	0	0	53	0	0	253
pos_6-20	0	0	0	0	0	0	16	7	0	0	0	239	0	0	0	0	4	0	0	210
pos_6-21	0	0	0	0	0	0	0	116	0	0	0	55	0	0	0	0	0	0	0	23
pos_6-22	0	0	0	0	0	0	0	243	0	0	0	0	0	0	0	0	0	0	0	0
pos_6-23	0	0	0	0	0	0	0	200	0	0	0	0	0	0	0	0	0	0	0	0
pos_6-24	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0
pos_6-25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_6-26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_6-27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_7-0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_7-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_7-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_7-3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_7-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_7-5	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0
pos_7-6	0	0	0	0	0	0	0	0	0	0	0	190	0	0	0	0	0	0	0	0
pos_7-7	0	0	0	0	0	0	0	0	0	0	0	254	0	0	51	0	0	0	212	0
pos_7-8	0	9	0	0	0	9	0	0	0	0	0	250	0	0	253	0	0	0	254	0
pos_7-9	0	174	0	0	92	220	130	0	73	0	0	216	0	0	184	0	104	49	254	0
pos_7-10	0	249	0	0	196	253	252	0	213	0	0	105	0	0	0	0	252	64	206	145
pos_7-11	21	253	0	0	252	252	252	8	253	0	65	65	0	0	0	0	252	64	150	207
pos_7-12	203	253	206	0	252	134	252	95	245	0	186	139	0	0	0	0	252	64	157	85
pos_7-13	254	230	250	0	252	12	252	217	83	0	235	95	0	0	0	21	253	170	134	0
pos_7-14	241	179	252	0	240	0	253	253	60	102	253	147	0	41	0	225	252	198	136	0
pos_7-15	244	146	250	0	223	0	252	253	226	253	254	177	22	158	163	253	252	253	254	0
pos_7-16	248	238	181	0	230	4	252	253	27	252	253	231	213	251	253	63	252	253	254	0
pos_7-17	57	254	0	0	252	144	252	253	0	82	251	254	252	206	196	0	253	156	217	34
pos_7-18	0	253	0	0	252	253	252	253	0	0	128	254	212	8	0	0	252	0	62	147
pos_7-19	0	179	0	0	140	215	253	253	0	0	0	254	29	0	0	0	252	0	0	250
pos_7-20	0	17	0	0	0	13	150	253	0	0	0	254	0	0	0	0	28	0	0	253
pos_7-21	0	17	0	0	16	0	0	253	0	0	0	115	0	0	0	0	0	0	0	210
pos_7-22	0	0	0	0	0	0	0	253	0	0	0	0	0	0	0	0	0	0	0	11
pos_7-23	0	0	0	0	0	0	0	248	0	0	0	0	0	0	0	0	0	0	0	0
pos_7-24	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0
pos_7-25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_7-26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_7-27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_8-0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_8-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_8-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_8-3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_8-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_8-5	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0
pos_8-6	0	0	0	0	0	0	0	0	0	0	0	254	0	0	0	0	0	0	0	0
pos_8-7	0	17	0	0	0	26	0	0	0	0	0	254	0	0	176	0	0	0	46	0
pos_8-8	0	209	0	0	79	202	62	0	30	0	0	210	0	0	255	0	0	125	111	0
pos_8-9	0	254	0	0	253	253	210	0	227	0	8	0	0	0	197	0	53	243	80	0
pos_8-10	20	253	0	0	252	233	253	27	253	0	99	0	0	0	0	0	252	253	22	0
pos_8-11	201	135	68	0	252	85	232	213	251	0	249	0	0	0	0	0	252	253	0	0
pos_8-12	254	69	222	0	252	0	140	253	133	0	253	0	0	0	0	0	214	253	0	0
pos_8-13	149	0	250	0	252	0	106	253	0	0	253	0	0	107	0	0	119	254	0	0
pos_8-14	38	0	252	0	63	0	107	240	7	203	252	0	0	241	0	211	224	253	2	0
pos_8-15	173	9	250	0	0	0	27	143	20	254	214	0	69	255	226	253	252	253	189	0
pos_8-16	254	151	181	0	25	0	107	111	0	253	105	4	252	233	254	63	252	253	254	0
pos_8-17	148	254	0	0	205	89	222	152	0	102	83	57	247	18	197	0	143	219	254	0
pos_8-18	0	253	0	0	252	253	253	253	0	0	188	95	63	0	0	0	187	45	129	0
pos_8-19	0	196	0	0	203	253	254	253	0	0	74	139	0	0	0	0	252	0	0	130
pos_8-20	0	184	0	20	140	25	204	253	0	0	0	139	0	0	0	0	28	0	0	250
pos_8-21	0	235	0	47	203	0	9	253	0	0	0	36	0	0	0	0	0	0	0	253
pos_8-22	0	17	0	47	47	0	0	194	0	0	0	0	0	0	0	0	0	0	0	94
pos_8-23	0	0	0	0	0	0	0	62	0	0	0	0	0	0	0	0	0	0	0	0
pos_8-24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_8-25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_8-26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_8-27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_9-0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_9-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_9-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_9-3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_9-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_9-5	0	0	0	0	0	0	0	0	0	0	0	104	0	0	0	0	0	0	0	0
pos_9-6	0	0	0	0	0	0	0	0	0	0	0	254	0	0	0	0	0	0	0	0
pos_9-7	0	83	0	0	92	128	0	0	0	0	0	234	0	0	225	0	0	0	0	0
pos_9-8	0	254	0	0	253	253	27	0	129	0	6	27	0	0	253	0	0	125	0	0
pos_9-9	20	254	0	0	255	175	168	27	253	0	165	0	0	0	196	0	16	212	0	0
pos_9-10	207	124	0	0	253	22	132	213	253	0	254	0	0	0	0	0	215	212	0	0
pos_9-11	242	0	183	0	253	0	32	253	189	0	253	0	0	0	0	0	252	212	0	0
pos_9-12	101	0	250	0	162	0	0	215	0	0	254	0	0	107	0	0	139	124	0	0
pos_9-13	6	0	250	0	0	0	0	105	0	0	222	0	0	243	0	0	0	89	0	0
pos_9-14	0	0	252	0	0	0	0	31	0	203	92	0	45	208	0	212	69	0	3	0
pos_9-15	173	174	250	0	0	0	0	0	0	253	14	0	236	60	225	254	252	98	208	0
pos_9-16	254	254	181	0	0	0	0	7	0	252	8	0	252	25	253	63	202	143	254	0
pos_9-17	208	236	0	0	169	89	16	153	0	102	196	0	187	0	196	0	25	254	254	0
pos_9-18	20	167	0	0	253	253	186	253	0	0	254	0	0	0	0	0	206	213	129	0
pos_9-19	0	65	0	94	255	253	253	253	0	0	173	0	0	0	0	0	252	0	0	0
pos_9-20	0	254	0	192	253	25	168	253	0	0	0	0	0	0	0	0	28	0	0	205
pos_9-21	0	255	0	253	253	0	0	244	0	0	0	0	0	0	0	0	0	0	0	253
pos_9-22	0	23	0	253	225	0	0	73	0	0	0	0	0	0	0	0	0	0	0	158
pos_9-23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
pos_9-24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_9-25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
