	('Numbers: Six-5412', 'Digit: Six')	('Numbers: Eight-2745', 'Digit: Eight')	('Numbers: Six-6037', 'Digit: Six')	('Numbers: One-1273', 'Digit: One')	('Numbers: One-598', 'Digit: One')	('Numbers: Four-1005', 'Digit: Four')	('Numbers: Seven-1977', 'Digit: Seven')	('Numbers: Seven-2666', 'Digit: Seven')	('Numbers: Five-5014', 'Digit: Five')	('Numbers: Nine-4486', 'Digit: Nine')	('Numbers: Six-6621', 'Digit: Six')	('Numbers: Two-4846', 'Digit: Two')	('Numbers: Three-1486', 'Digit: Three')	('Numbers: Six-1951', 'Digit: Six')	('Numbers: One-3429', 'Digit: One')	('Numbers: Four-2228', 'Digit: Four')	('Numbers: Two-3769', 'Digit: Two')	('Numbers: One-681', 'Digit: One')	('Numbers: Five-2810', 'Digit: Five')	('Numbers: Seven-87', 'Digit: Seven')	('Numbers: Eight-5682', 'Digit: Eight')	('Numbers: Two-4199', 'Digit: Two')	('Numbers: One-7523', 'Digit: One')	('Numbers: Eight-4301', 'Digit: Eight')	('Numbers: Five-6210', 'Digit: Five')	('Numbers: Eight-4909', 'Digit: Eight')	('Numbers: Four-1754', 'Digit: Four')	('Numbers: Seven-846', 'Digit: Seven')	('Numbers: Five-3968', 'Digit: Five')	('Numbers: Zero-4847', 'Digit: Zero')	('Numbers: Four-3079', 'Digit: Four')	('Numbers: Two-5022', 'Digit: Two')	('Numbers: Seven-6162', 'Digit: Seven')	('Numbers: Six-1968', 'Digit: Six')	('Numbers: Zero-1752', 'Digit: Zero')	('Numbers: Three-1116', 'Digit: Three')	('Numbers: One-779', 'Digit: One')	('Numbers: Six-2739', 'Digit: Six')	('Numbers: Six-5802', 'Digit: Six')	('Numbers: One-1141', 'Digit: One')	('Numbers: Six-4825', 'Digit: Six')	('Numbers: Eight-6079', 'Digit: Eight')	('Numbers: Nine-2694', 'Digit: Nine')	('Numbers: Eight-5120', 'Digit: Eight')	('Numbers: Five-266', 'Digit: Five')	('Numbers: Five-610', 'Digit: Five')	('Numbers: Three-3565', 'Digit: Three')	('Numbers: Five-2641', 'Digit: Five')	('Numbers: Five-3873', 'Digit: Five')	('Numbers: Seven-3338', 'Digit: Seven')	('Numbers: Nine-2432', 'Digit: Nine')	('Numbers: Zero-1570', 'Digit: Zero')	('Numbers: Two-4134', 'Digit: Two')	('Numbers: Four-6635', 'Digit: Four')	('Numbers: Zero-6517', 'Digit: Zero')	('Numbers: Three-577', 'Digit: Three')	('Numbers: One-2438', 'Digit: One')	('Numbers: Three-1150', 'Digit: Three')	('Numbers: Seven-7076', 'Digit: Seven')	('Numbers: Three-4759', 'Digit: Three')	('Numbers: Four-3569', 'Digit: Four')	('Numbers: Two-4095', 'Digit: Two')	('Numbers: Eight-3781', 'Digit: Eight')	('Numbers: Seven-3928', 'Digit: Seven')	('Numbers: Zero-2194', 'Digit: Zero')	('Numbers: Four-5574', 'Digit: Four')	('Numbers: Seven-1917', 'Digit: Seven')	('Numbers: Five-3163', 'Digit: Five')	('Numbers: Seven-1900', 'Digit: Seven')	('Numbers: Five-5339', 'Digit: Five')	('Numbers: Nine-1420', 'Digit: Nine')	('Numbers: One-3830', 'Digit: One')	('Numbers: Three-494', 'Digit: Three')	('Numbers: Four-1890', 'Digit: Four')	('Numbers: Three-1440', 'Digit: Three')	('Numbers: Nine-1134', 'Digit: Nine')	('Numbers: Eight-1420', 'Digit: Eight')	('Numbers: Two-5060', 'Digit: Two')	('Numbers: Six-5137', 'Digit: Six')	('Numbers: Four-4197', 'Digit: Four')	('Numbers: Eight-1014', 'Digit: Eight')	('Numbers: One-1537', 'Digit: One')	('Numbers: Two-596', 'Digit: Two')	('Numbers: One-1152', 'Digit: One')	('Numbers: Two-1650', 'Digit: Two')	('Numbers: One-1857', 'Digit: One')	('Numbers: Three-4425', 'Digit: Three')	('Numbers: One-5739', 'Digit: One')	('Numbers: Seven-2546', 'Digit: Seven')	('Numbers: Two-2406', 'Digit: Two')	('Numbers: Four-5075', 'Digit: Four')	('Numbers: Three-6805', 'Digit: Three')	('Numbers: Four-4893', 'Digit: Four')	('Numbers: Nine-2721', 'Digit: Nine')	('Numbers: Zero-4198', 'Digit: Zero')	('Numbers: Two-4837', 'Digit: Two')	('Numbers: Seven-5045', 'Digit: Seven')	('Numbers: Zero-4403', 'Digit: Zero')	('Numbers: Two-3210', 'Digit: Two')	('Numbers: Five-3960', 'Digit: Five')
pos_0-0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_0-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_0-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_0-3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_0-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_0-5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_0-6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_0-7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_0-8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_0-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
