	('Numbers: Four-2516', 'Digit: Four')	('Numbers: Four-6599', 'Digit: Four')	('Numbers: Two-2232', 'Digit: Two')	('Numbers: Three-1759', 'Digit: Three')	('Numbers: Two-5167', 'Digit: Two')	('Numbers: Seven-7284', 'Digit: Seven')	('Numbers: Five-2740', 'Digit: Five')	('Numbers: Five-2979', 'Digit: Five')	('Numbers: Five-3449', 'Digit: Five')	('Numbers: Four-1948', 'Digit: Four')	('Numbers: Three-3812', 'Digit: Three')	('Numbers: Six-4764', 'Digit: Six')	('Numbers: Nine-6936', 'Digit: Nine')	('Numbers: Five-2166', 'Digit: Five')	('Numbers: One-3582', 'Digit: One')	('Numbers: Five-5611', 'Digit: Five')	('Numbers: Eight-3689', 'Digit: Eight')	('Numbers: Two-924', 'Digit: Two')	('Numbers: Zero-4093', 'Digit: Zero')	('Numbers: Zero-719', 'Digit: Zero')
pos_0-0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_0-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_0-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_0-3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_0-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_0-5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_0-6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_0-7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_0-8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_0-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_0-10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_0-11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_0-12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_0-13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_0-14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_0-15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_0-16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_0-17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_0-18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_0-19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_0-20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_0-21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_0-22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_0-23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_0-24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_0-25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_0-26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_0-27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_1-0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_1-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_1-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_1-3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_1-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_1-5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_1-6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_1-7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_1-8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_1-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_1-10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_1-11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_1-12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_1-13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_1-14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_1-15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
